维度,维度内题号,标准答案,通义答案,答案是否一致,依据判定,查证/备注
诊断,1,B,B,一致,正确,
诊断,2,C,C,一致,正确,
诊断,3,C,A,不一致,错误,"【你已终审：维持C】通义两轮均答A、理由自洽但与你的答案键/教材终审相悖，按""理由错误""处理。记录为""双模型与标准键稳定分歧""题。"
诊断,4,A,A,一致,正确,
诊断,5,A,A,一致,正确,
诊断,6,D,D,一致,正确,
诊断,7,A,A,一致,正确,
诊断,8,D,D,一致,正确,
诊断,9,D,D,一致,正确,
诊断,10,A,A,一致,正确,
诊断,11,A,A,一致,正确,
诊断,12,B,B,一致,正确,
用药,1,C,C,一致,正确,
用药,2,B,A,不一致,错误,"【你已终审：维持B】通义以""经典抗风湿药=阿司匹林""立论，概念未对准题干所指DMARD；另注D22同模型答B→今日答A，两次不一致。"
用药,3,A,A,一致,正确,
用药,4,B,B,一致,正确,
用药,5,B,B,一致,正确,
用药,6,D,D,一致,正确,
用药,7,C,C,一致,正确,"依据正确；但旁及陈述""链霉素为抑菌剂""有误：链霉素属半杀菌药（细胞外碱性环境杀菌），乙胺丁醇与对氨基水杨酸钠才是抑菌药。不影响本题判定。"
用药,8,B,B,一致,正确,
用药,9,C,C,一致,正确,
用药,10,D,D,一致,正确,
用药,11,A,A,一致,正确,
用药,12,C,C,一致,正确,
指南,1,B,B,一致,正确,
指南,2,A,A,一致,正确,
指南,3,D,D,一致,正确,
指南,4,C,C,一致,正确,
指南,5,B,B,一致,正确,
指南,6,A,A,一致,正确,
指南,7,D,A,不一致,错误,"与《心房颤动诊断和治疗指南(2023)》不符：现行中国指南采用CHA₂DS₂-VASc-60评分，男≥2分/女≥3分启动OAC（Ⅰ,B）；通义答""男≥1/女≥2""，且出处书名不准确。另注：D22同模型答D→今日答A，两次不一致。"
指南,8,A,B,不一致,错误,"【你已审核原文定稿】维持错误：理由与指南原文相悖（""真实数字放错位置""模式）。原文见 指南原文_待审核_8_11_12.md"
指南,9,B,B,一致,正确,理由实质（耐药率上升→铋剂四联14天），出处真实。
指南,10,C,C,一致,正确,理由实质（GOLD 2024 首选长效支气管舒张剂），出处真实。
指南,11,D,B,不一致,错误,"【你已审核原文定稿】维持错误：理由与指南原文相悖（""真实数字放错位置""模式）。原文见 指南原文_待审核_8_11_12.md"
指南,12,B,A,不一致,错误,"【你已审核原文定稿】维持错误：理由与指南原文相悖（""真实数字放错位置""模式）。原文见 指南原文_待审核_8_11_12.md"
伦理,1,C,C,一致,正确,
伦理,2,D,A,不一致,错误,"【你已终审：维持D】通义理由实质但与你教材P76终审相悖，且引《医学伦理学》第4版（版本与你的教材页码体系不同）。按""理由错误""处理。D22同模型亦答A，属稳定分歧。"
伦理,3,A,A,一致,正确,
伦理,4,D,D,一致,正确,依据实质正确；引《医学伦理学》第4版（版本请与你的教材核对），次要出处《临床诊疗指南——伦理学分册》存在性待查。
伦理,5,D,D,一致,正确,依据正确。另注：D22同模型本题答C→今日答D（与你键一致），两次作答不一致。
伦理,6,D,D,一致,正确,
伦理,7,B,B,一致,正确,
伦理,8,C,C,一致,正确,
伦理,9,A,A,一致,正确,
伦理,10,C,C,一致,正确,《民法典》第1220条引用准确；《医疗机构管理条例》条号有误：现行（2022修订）为第三十二条，通义写第三十一条。条号瑕疵，来源真实。
伦理,11,C,C,一致,正确,
伦理,12,C,C,一致,正确,
